transaction_id,sale_date
TXN0001,2024-08-01
TXN0002,2024-09-07
TXN0003,2024-08-25
TXN0004,2024-08-10
TXN0005,2024-02-15
TXN0006,2024-09-09
TXN0007,2024-06-03
TXN0008,2024-03-15
TXN0009,2024-02-10
TXN0010,2024-05-05
TXN0011,2024-09-12
TXN0012,2024-02-12
TXN0013,2024-02-21
TXN0014,2024-04-04
TXN0015,2024-07-15
TXN0016,2024-03-08
TXN0017,2024-01-29
TXN0018,2024-09-10
TXN0019,2024-08-13
TXN0020,2024-10-30
TXN0021,2024-05-24
TXN0022,2024-05-26
TXN0023,2024-02-20
TXN0024,2024-04-28
TXN0025,2024-11-03
TXN0026,2024-04-21
TXN0027,2024-09-24
TXN0028,2024-09-03
TXN0029,2024-03-15
TXN0030,2024-09-22
TXN0031,2024-12-08
TXN0032,2024-09-30
TXN0033,2024-07-15
TXN0034,2024-12-30
TXN0035,2024-05-01
TXN0036,2024-11-20
TXN0037,2024-12-01
TXN0038,2024-03-06
TXN0039,2024-07-27
TXN0040,2024-11-27
TXN0041,2024-12-25
TXN0042,2024-02-27
TXN0043,2024-03-30
TXN0044,2024-11-16
TXN0045,2024-11-20
TXN0046,2024-07-19
TXN0047,2024-09-17
TXN0048,2024-07-13
TXN0049,2024-03-03
TXN0050,2024-12-10
TXN0051,2024-09-03
TXN0052,2024-10-23
TXN0053,2024-01-19
TXN0054,2024-09-20
TXN0055,2024-05-28
TXN0056,2024-11-09
TXN0057,2024-05-24
TXN0058,2024-10-23
TXN0059,2024-08-28
TXN0060,2024-02-01
TXN0061,2024-01-11
TXN0062,2024-03-09
TXN0063,2024-07-17
TXN0064,2024-02-28
TXN0065,2024-09-06
TXN0066,2024-11-06
TXN0067,2024-02-09
TXN0068,2024-07-30
TXN0069,2024-05-19
TXN0070,2024-08-27
TXN0071,2024-10-17
TXN0072,2024-01-12
TXN0073,2024-03-18
TXN0074,2024-06-23
TXN0075,2024-06-01
TXN0076,2024-08-12
TXN0077,2024-01-02
TXN0078,2024-03-28
TXN0079,2024-12-16
TXN0080,2024-07-07
TXN0081,2024-09-17
TXN0082,2024-03-25
TXN0083,2024-04-10
TXN0084,2024-05-13
TXN0085,2024-07-22
TXN0086,2024-02-18
TXN0087,2024-06-12
TXN0088,2024-10-17
TXN0089,2024-06-03
TXN0090,2024-12-16
TXN0091,2024-09-19
TXN0092,2024-11-24
TXN0093,2024-01-21
TXN0094,2024-11-11
TXN0095,2024-04-16
TXN0096,2024-08-28
TXN0097,2024-10-23
TXN0098,2024-10-17
TXN0099,2024-10-04
TXN0100,2024-10-05
TXN0101,2024-07-29
TXN0102,2024-08-12
TXN0103,2024-12-31
TXN0104,2024-10-01
TXN0105,2024-08-30
TXN0106,2024-03-04
TXN0107,2024-12-18
TXN0108,2024-04-08
TXN0109,2024-09-30
TXN0110,2024-08-23
TXN0111,2024-03-18
TXN0112,2024-06-02
TXN0113,2024-03-28
TXN0114,2024-05-07
TXN0115,2024-06-22
TXN0116,2024-04-25
TXN0117,2024-01-22
TXN0118,2024-11-01
TXN0119,2024-11-16
TXN0120,2024-08-02
TXN0121,2024-05-08
TXN0122,2024-12-03
TXN0123,2024-08-28
TXN0124,2024-08-06
TXN0125,2024-07-13
TXN0126,2024-07-05
TXN0127,2024-12-01
TXN0128,2024-01-29
TXN0129,2024-04-14
TXN0130,2024-04-15
TXN0131,2024-05-12
TXN0132,2024-07-15
TXN0133,2024-08-30
TXN0134,2024-07-13
TXN0135,2024-03-17
TXN0136,2024-11-02
TXN0137,2024-05-07
TXN0138,2024-10-27
TXN0139,2024-10-26
TXN0140,2024-06-24
TXN0141,2024-06-26
TXN0142,2024-02-16
TXN0143,2024-02-28
TXN0144,2024-03-07
TXN0145,2024-03-26
TXN0146,2024-03-26
TXN0147,2024-01-23
TXN0148,2024-12-07
